,benchmark,Number_of_Priors,Age_Above_FourtyFive,Age_Below_TwentyFive,African_American,Asian,Hispanic,Native_American,Other,Female,Misdemeanor
39,0.5459496943754971,-0.2273244559452689,0.037259473124229364,-0.06586837156702037,0.015531847410418964,-0.0009468069572349108,0.005805905758732036,0.0019302870036128628,-0.0003829616816310305,0.014072029365027657,0.05375673908518851
73,0.5488325644550375,0.4563493455672972,0.03911645948567134,-0.047677469983345225,0.01147639393515057,0.00033677947195319413,0.0010349254590111476,-0.00031813951126054285,0.0005881863421007966,0.011956064177481546,0.02879685901097384
76,0.4751839599990356,0.16436439875421732,-0.011696150068610245,0.061722307132430196,-0.010842538042776101,0.000980490813406329,0.0001951952260233064,-0.0015467168900165085,0.0004456323297935272,0.03078344761919614,0.030059243812030068
145,0.4788148072952669,-0.11124190651216805,-0.014982608239092254,0.057128573777844305,-0.01198233268489221,-0.00023422136632453294,-0.002811384923653664,-0.0023351624674518984,0.00016513325811093327,0.025454166779704433,-0.020461673587892124
152,0.5610484202660595,-0.049500156750819896,-0.11746359425619378,-0.08459809990773548,-0.022809788724845792,-0.005822130023346431,0.00397295985118553,-0.000592176076536638,-0.005246071070739697,0.009467795843583884,-0.030703351202045565
159,0.4644772627299313,-0.03877934687414293,0.10584266156541502,0.07709575329482925,-0.006969448725303917,0.003774811081115062,-0.0012538164325493727,-0.0007957990183987407,0.002169359352620845,-0.011099195827235824,-0.009576283846811584
160,0.5477189557018047,0.4334835492113404,-0.09481757746751021,-0.06186789774949891,-0.01148244236337606,-0.0002968644701924483,0.0018393161474682049,-0.0023145916066828753,-0.0007677330277224281,0.012371097953306147,-0.037890370867556616
176,0.47878560706523565,0.2960715377273994,-0.008110294399207546,0.051038406598142703,-0.014089920444431775,0.0004961332361696769,-0.002171190557835878,-0.001658946821799484,-0.0004421900248364474,0.028372505903286657,-0.023192618850894506
188,0.4748708613667439,0.10520438327420752,-0.01205775410862829,0.06467911605383829,-0.011501880128654246,0.0007317757887623233,-0.0012660872902254816,-0.003176314774445549,-0.00036911081659063427,0.026664740932414076,-0.015988934465894694
205,0.5476345122463933,-0.23551038070847247,0.03717967849072018,-0.06511707193190235,-0.01859273995078123,-0.001724607390790417,0.005505997698890409,0.0019433681249172996,-0.0016723300786039147,0.014497919539988288,0.0544889043848987
221,0.5474584054404259,0.10064560149425804,0.045697266328204283,-0.06068511559914616,0.012734405397454296,0.0007087867221883953,0.002884495566505732,0.0011803136195392416,0.0007282251444926252,0.013441924166702507,0.03601384277692901
226,0.4715782937707872,0.3071692608874658,-0.0004622335319356685,-0.17892191878403618,0.019767920133609784,0.0019975025855399203,0.009946779978756468,-0.00031556527930963474,0.0010470441008817444,-0.0257397583335155,-0.015842263279703256
242,0.5356542589133213,-0.21504838470518917,0.03642459047957117,0.2744666588561538,0.02791213345136251,0.002688602920442429,0.00193622077462971,-0.0015635705984897996,0.0021890250592112165,0.033923726534755526,-0.042447802162147594
245,0.4723610657593145,-0.09496969360490874,-0.01520329891469692,0.06541721959194197,0.012416716450392579,-0.0002571836850290832,8.227959827410841e-05,-8.544446862483734e-05,0.00037852366361583456,-0.012994818681352788,0.043642872588205595
247,0.5419430362506755,-0.1974223818220835,0.03059294167290416,0.24738059406985674,-0.01778136359108315,0.0008657592694430727,0.0016505093778613686,-0.002478504091508321,0.0025909450826630126,0.03316985648918994,0.037400036505949044
292,0.47250560565685273,0.3065770837033714,-0.008898138601339575,0.06343934473042549,0.014302784064305907,0.0010718962655807268,-0.0007241059076229447,-0.00026792474445264114,0.0005314558183412352,-0.014881259059195084,0.0376653433991348
300,0.46892895975746174,0.10450158759750229,-0.012002448990073036,0.0796277535417986,-0.007653920789858298,0.0020231378375795833,-0.0005458599221127847,-0.001223590756584264,0.0017543175937976274,-0.012859989152928304,0.03619584992320907
325,0.5402826956301121,0.5611018295881662,-0.0767302191406033,-0.05060314632340271,-0.008352913552366475,0.003893997778207342,0.0021904771301162126,-0.0012132716992228065,0.0026820047954755066,0.016647086543591767,0.026426822848458764
334,0.4750497698433933,0.29904715241062024,-0.008749958488342022,0.0613127996588552,0.014894785916360342,0.000674834283866485,-0.0024508868002093426,-0.001043464914002451,0.000456567988366241,-0.016123630336664578,-0.020973068306245846
342,0.4769213253891442,0.28187006273057347,0.08057662216544575,0.06625563320987364,0.012726884902918525,-0.001144754843035209,-0.0011830581911764504,0.000311925064836599,-0.0001232117273169686,-0.016656042133436046,0.040204864891728684
354,0.5582309430968945,-0.27250477634618075,0.0348937169113389,-0.07639861756787553,-0.0188733006717563,-0.0014780196307696697,0.0004935408475277223,0.0003415984739167238,-0.00029655509740893204,0.01450041670028782,-0.05965278112547169
356,0.48349043637506206,-0.08818656289064034,-0.012419174023232157,-0.20849407360709402,-0.024122191863050674,-0.003253712174603504,-0.0014432625788266748,0.0019462491923896014,-0.0013016858102767176,-0.0246972389466699,-0.01161019653728429
368,0.45874565722917093,0.31115829878961976,0.0010557785005460285,-0.14046547633249493,0.027892782567214475,0.0052188869187373005,-0.0033822922953169604,0.0012035031867240753,0.00374373827703213,0.07209519160879849,-0.012581016843223991
369,0.47250560565685273,0.3065770837033714,-0.008898138601339575,0.06343934473042549,0.014302784064305907,0.0010718962655807268,-0.0007241059076229447,-0.00026792474445264114,0.0005314558183412352,-0.014881259059195084,0.0376653433991348
373,0.4642517836644641,-0.057921816440733104,0.10946849122937766,0.07411190139728627,0.018758747550412097,0.0033693394911128993,-0.00039691336811575884,-0.0003091564225642107,0.0027155713017409655,-0.010875222704528325,-0.009508976332380167
403,0.46588720047895854,-0.04111890903501825,0.1051262732663983,0.07374188331797552,0.018189884777552817,0.002554327440895815,-0.0006382556687087038,-0.0003653321842863183,0.0020822460149225314,-0.012204532276727471,-0.008471537618188085
419,0.48116152028866777,0.280477331448447,0.07958705882836985,0.05165042051462872,0.01301367067135438,-0.00218357090195917,-0.0007048849429109674,5.535029958519955e-05,-0.0006795158708662874,0.028381912684482872,0.038615390166758454
432,0.48116812153777877,-0.21275773936812425,-0.022532516341371017,0.05307039690575154,0.0071413817382493805,-0.002455025158726948,0.008010441483555241,0.00048289119118902213,-0.0013571470880396896,-0.014673706458182239,0.03767183253879644
444,0.471458768229448,0.30448316431212313,-0.0004424649629187205,-0.17484780404539285,0.020021449935374164,0.00195533451837851,-0.0007854861107886163,-0.00046957624803968534,0.000628352362132073,-0.026153385801336027,-0.01651038424250298
450,0.5461950370473067,-0.02780095651642364,0.04796399262716386,-0.060707587331943744,-0.012161849410023046,0.0013307071333435866,0.0028275234996647663,0.001371625128260015,0.001537305343562223,0.016225877666695816,0.032743402798949356
461,0.5471721312607396,0.10684395407812607,0.04635190700042163,-0.06594083502883806,-0.01116649397632452,0.001570537098088659,-0.012955989849950347,-0.00031082889352072873,0.0006868465009121361,0.013965447199709428,-0.04607371394512841
462,0.5578259273818715,0.07542660763707261,-0.11291128324231348,-0.07020999905309137,-0.020010243075405776,-0.003746788367935322,0.002172579550348601,-0.0007406005934042087,-0.0035631962486340762,0.010260464654787686,0.036140134378985764
480,0.4760658274556651,-0.10671730755798392,-0.016112776591948805,0.0626493627800079,0.0128165143643309,-0.00042290589784464705,-0.002374426952897777,-0.0010102482674004681,0.0006266529947025756,-0.013996906631095252,-0.01843817177435697
